"rep";"lac";"mu";"gam";"laa";"K";"lac2";"mu2";"gam2";"laa2";"trans";"trans2"
30;0,4;0,1;0,02;0,2;20;0,6;0,1;0,02;0,2;0,02;0,2
31;0,4;0,1;0,02;0,2;20;0,6;0,1;0,02;0,2;0,02;0,2
32;0,4;0,1;0,02;0,2;20;0,6;0,1;0,02;0,2;0,02;0,2
33;0,4;0,1;0,02;0,2;20;0,6;0,1;0,02;0,2;0,02;0,2
34;0,4;0,1;0,02;0,2;20;0,6;0,1;0,02;0,2;0,02;0,2
35;0,4;0,1;0,02;0,2;20;0,6;0,1;0,02;0,2;0,02;0,2
36;0,4;0,1;0,02;0,2;20;0,6;0,1;0,02;0,2;0,02;0,2
37;0,4;0,1;0,02;0,2;20;0,6;0,1;0,02;0,2;0,02;0,2
38;0,4;0,1;0,02;0,2;20;0,6;0,1;0,02;0,2;0,02;0,2
39;0,4;0,1;0,02;0,2;20;0,6;0,1;0,02;0,2;0,02;0,2
40;0,4;0,1;0,02;0,2;20;0,6;0,1;0,02;0,2;0,02;0,2
41;0,4;0,1;0,02;0,2;20;0,6;0,1;0,02;0,2;0,02;0,2
42;0,4;0,1;0,02;0,2;20;0,6;0,1;0,02;0,2;0,02;0,2
43;0,4;0,1;0,02;0,2;20;0,6;0,1;0,02;0,2;0,02;0,2
44;0,4;0,1;0,02;0,2;20;0,6;0,1;0,02;0,2;0,02;0,2
45;0,4;0,1;0,02;0,2;20;0,6;0,1;0,02;0,2;0,02;0,2
46;0,4;0,1;0,02;0,2;20;0,6;0,1;0,02;0,2;0,02;0,2
47;0,4;0,1;0,02;0,2;20;0,6;0,1;0,02;0,2;0,02;0,2
48;0,4;0,1;0,02;0,2;20;0,6;0,1;0,02;0,2;0,02;0,2
49;0,4;0,1;0,02;0,2;20;0,6;0,1;0,02;0,2;0,02;0,2
50;0,4;0,1;0,02;0,2;20;0,6;0,1;0,02;0,2;0,02;0,2
1;0,5;0,1;0,02;0,2;20;0,5;0,1;0,02;0,2;0,02;0,2
2;0,5;0,1;0,02;0,2;20;0,5;0,1;0,02;0,2;0,02;0,2
3;0,5;0,1;0,02;0,2;20;0,5;0,1;0,02;0,2;0,02;0,2
4;0,5;0,1;0,02;0,2;20;0,5;0,1;0,02;0,2;0,02;0,2
5;0,5;0,1;0,02;0,2;20;0,5;0,1;0,02;0,2;0,02;0,2
6;0,5;0,1;0,02;0,2;20;0,5;0,1;0,02;0,2;0,02;0,2
7;0,5;0,1;0,02;0,2;20;0,5;0,1;0,02;0,2;0,02;0,2
8;0,5;0,1;0,02;0,2;20;0,5;0,1;0,02;0,2;0,02;0,2
9;0,5;0,1;0,02;0,2;20;0,5;0,1;0,02;0,2;0,02;0,2
10;0,5;0,1;0,02;0,2;20;0,5;0,1;0,02;0,2;0,02;0,2
11;0,5;0,1;0,02;0,2;20;0,5;0,1;0,02;0,2;0,02;0,2
12;0,5;0,1;0,02;0,2;20;0,5;0,1;0,02;0,2;0,02;0,2
13;0,5;0,1;0,02;0,2;20;0,5;0,1;0,02;0,2;0,02;0,2
14;0,5;0,1;0,02;0,2;20;0,5;0,1;0,02;0,2;0,02;0,2
15;0,5;0,1;0,02;0,2;20;0,5;0,1;0,02;0,2;0,02;0,2
16;0,5;0,1;0,02;0,2;20;0,5;0,1;0,02;0,2;0,02;0,2
17;0,5;0,1;0,02;0,2;20;0,5;0,1;0,02;0,2;0,02;0,2
18;0,5;0,1;0,02;0,2;20;0,5;0,1;0,02;0,2;0,02;0,2
19;0,5;0,1;0,02;0,2;20;0,5;0,1;0,02;0,2;0,02;0,2
20;0,5;0,1;0,02;0,2;20;0,5;0,1;0,02;0,2;0,02;0,2
21;0,5;0,1;0,02;0,2;20;0,5;0,1;0,02;0,2;0,02;0,2
22;0,5;0,1;0,02;0,2;20;0,5;0,1;0,02;0,2;0,02;0,2
23;0,5;0,1;0,02;0,2;20;0,5;0,1;0,02;0,2;0,02;0,2
24;0,5;0,1;0,02;0,2;20;0,5;0,1;0,02;0,2;0,02;0,2
25;0,5;0,1;0,02;0,2;20;0,5;0,1;0,02;0,2;0,02;0,2
26;0,5;0,1;0,02;0,2;20;0,5;0,1;0,02;0,2;0,02;0,2
27;0,5;0,1;0,02;0,2;20;0,5;0,1;0,02;0,2;0,02;0,2
28;0,5;0,1;0,02;0,2;20;0,5;0,1;0,02;0,2;0,02;0,2
29;0,5;0,1;0,02;0,2;20;0,5;0,1;0,02;0,2;0,02;0,2
30;0,5;0,1;0,02;0,2;20;0,5;0,1;0,02;0,2;0,02;0,2
31;0,5;0,1;0,02;0,2;20;0,5;0,1;0,02;0,2;0,02;0,2
32;0,5;0,1;0,02;0,2;20;0,5;0,1;0,02;0,2;0,02;0,2
33;0,5;0,1;0,02;0,2;20;0,5;0,1;0,02;0,2;0,02;0,2
34;0,5;0,1;0,02;0,2;20;0,5;0,1;0,02;0,2;0,02;0,2
35;0,5;0,1;0,02;0,2;20;0,5;0,1;0,02;0,2;0,02;0,2
36;0,5;0,1;0,02;0,2;20;0,5;0,1;0,02;0,2;0,02;0,2
37;0,5;0,1;0,02;0,2;20;0,5;0,1;0,02;0,2;0,02;0,2
38;0,5;0,1;0,02;0,2;20;0,5;0,1;0,02;0,2;0,02;0,2
39;0,5;0,1;0,02;0,2;20;0,5;0,1;0,02;0,2;0,02;0,2
40;0,5;0,1;0,02;0,2;20;0,5;0,1;0,02;0,2;0,02;0,2
41;0,5;0,1;0,02;0,2;20;0,5;0,1;0,02;0,2;0,02;0,2
42;0,5;0,1;0,02;0,2;20;0,5;0,1;0,02;0,2;0,02;0,2
43;0,5;0,1;0,02;0,2;20;0,5;0,1;0,02;0,2;0,02;0,2
44;0,5;0,1;0,02;0,2;20;0,5;0,1;0,02;0,2;0,02;0,2
45;0,5;0,1;0,02;0,2;20;0,5;0,1;0,02;0,2;0,02;0,2
46;0,5;0,1;0,02;0,2;20;0,5;0,1;0,02;0,2;0,02;0,2
47;0,5;0,1;0,02;0,2;20;0,5;0,1;0,02;0,2;0,02;0,2
48;0,5;0,1;0,02;0,2;20;0,5;0,1;0,02;0,2;0,02;0,2
49;0,5;0,1;0,02;0,2;20;0,5;0,1;0,02;0,2;0,02;0,2
50;0,5;0,1;0,02;0,2;20;0,5;0,1;0,02;0,2;0,02;0,2
1;0,2;0,1;0,02;0,2;20;0,8;0,1;0,02;0,2;0,2;0,02
2;0,2;0,1;0,02;0,2;20;0,8;0,1;0,02;0,2;0,2;0,02
3;0,2;0,1;0,02;0,2;20;0,8;0,1;0,02;0,2;0,2;0,02
4;0,2;0,1;0,02;0,2;20;0,8;0,1;0,02;0,2;0,2;0,02
5;0,2;0,1;0,02;0,2;20;0,8;0,1;0,02;0,2;0,2;0,02
6;0,2;0,1;0,02;0,2;20;0,8;0,1;0,02;0,2;0,2;0,02
7;0,2;0,1;0,02;0,2;20;0,8;0,1;0,02;0,2;0,2;0,02
8;0,2;0,1;0,02;0,2;20;0,8;0,1;0,02;0,2;0,2;0,02
9;0,2;0,1;0,02;0,2;20;0,8;0,1;0,02;0,2;0,2;0,02
10;0,2;0,1;0,02;0,2;20;0,8;0,1;0,02;0,2;0,2;0,02
11;0,2;0,1;0,02;0,2;20;0,8;0,1;0,02;0,2;0,2;0,02
12;0,2;0,1;0,02;0,2;20;0,8;0,1;0,02;0,2;0,2;0,02
13;0,2;0,1;0,02;0,2;20;0,8;0,1;0,02;0,2;0,2;0,02
14;0,2;0,1;0,02;0,2;20;0,8;0,1;0,02;0,2;0,2;0,02
15;0,2;0,1;0,02;0,2;20;0,8;0,1;0,02;0,2;0,2;0,02
16;0,2;0,1;0,02;0,2;20;0,8;0,1;0,02;0,2;0,2;0,02
17;0,2;0,1;0,02;0,2;20;0,8;0,1;0,02;0,2;0,2;0,02
18;0,2;0,1;0,02;0,2;20;0,8;0,1;0,02;0,2;0,2;0,02
19;0,2;0,1;0,02;0,2;20;0,8;0,1;0,02;0,2;0,2;0,02
20;0,2;0,1;0,02;0,2;20;0,8;0,1;0,02;0,2;0,2;0,02
21;0,2;0,1;0,02;0,2;20;0,8;0,1;0,02;0,2;0,2;0,02
22;0,2;0,1;0,02;0,2;20;0,8;0,1;0,02;0,2;0,2;0,02
23;0,2;0,1;0,02;0,2;20;0,8;0,1;0,02;0,2;0,2;0,02
24;0,2;0,1;0,02;0,2;20;0,8;0,1;0,02;0,2;0,2;0,02
25;0,2;0,1;0,02;0,2;20;0,8;0,1;0,02;0,2;0,2;0,02
26;0,2;0,1;0,02;0,2;20;0,8;0,1;0,02;0,2;0,2;0,02
27;0,2;0,1;0,02;0,2;20;0,8;0,1;0,02;0,2;0,2;0,02
28;0,2;0,1;0,02;0,2;20;0,8;0,1;0,02;0,2;0,2;0,02
29;0,2;0,1;0,02;0,2;20;0,8;0,1;0,02;0,2;0,2;0,02
30;0,2;0,1;0,02;0,2;20;0,8;0,1;0,02;0,2;0,2;0,02
31;0,2;0,1;0,02;0,2;20;0,8;0,1;0,02;0,2;0,2;0,02
32;0,2;0,1;0,02;0,2;20;0,8;0,1;0,02;0,2;0,2;0,02
33;0,2;0,1;0,02;0,2;20;0,8;0,1;0,02;0,2;0,2;0,02
34;0,2;0,1;0,02;0,2;20;0,8;0,1;0,02;0,2;0,2;0,02
35;0,2;0,1;0,02;0,2;20;0,8;0,1;0,02;0,2;0,2;0,02
36;0,2;0,1;0,02;0,2;20;0,8;0,1;0,02;0,2;0,2;0,02
37;0,2;0,1;0,02;0,2;20;0,8;0,1;0,02;0,2;0,2;0,02
38;0,2;0,1;0,02;0,2;20;0,8;0,1;0,02;0,2;0,2;0,02
39;0,2;0,1;0,02;0,2;20;0,8;0,1;0,02;0,2;0,2;0,02
40;0,2;0,1;0,02;0,2;20;0,8;0,1;0,02;0,2;0,2;0,02
41;0,2;0,1;0,02;0,2;20;0,8;0,1;0,02;0,2;0,2;0,02
42;0,2;0,1;0,02;0,2;20;0,8;0,1;0,02;0,2;0,2;0,02
43;0,2;0,1;0,02;0,2;20;0,8;0,1;0,02;0,2;0,2;0,02
44;0,2;0,1;0,02;0,2;20;0,8;0,1;0,02;0,2;0,2;0,02
45;0,2;0,1;0,02;0,2;20;0,8;0,1;0,02;0,2;0,2;0,02
46;0,2;0,1;0,02;0,2;20;0,8;0,1;0,02;0,2;0,2;0,02
47;0,2;0,1;0,02;0,2;20;0,8;0,1;0,02;0,2;0,2;0,02
48;0,2;0,1;0,02;0,2;20;0,8;0,1;0,02;0,2;0,2;0,02
49;0,2;0,1;0,02;0,2;20;0,8;0,1;0,02;0,2;0,2;0,02
50;0,2;0,1;0,02;0,2;20;0,8;0,1;0,02;0,2;0,2;0,02
1;0,3;0,1;0,02;0,2;20;0,7;0,1;0,02;0,2;0,2;0,02
2;0,3;0,1;0,02;0,2;20;0,7;0,1;0,02;0,2;0,2;0,02
3;0,3;0,1;0,02;0,2;20;0,7;0,1;0,02;0,2;0,2;0,02
4;0,3;0,1;0,02;0,2;20;0,7;0,1;0,02;0,2;0,2;0,02
5;0,3;0,1;0,02;0,2;20;0,7;0,1;0,02;0,2;0,2;0,02
6;0,3;0,1;0,02;0,2;20;0,7;0,1;0,02;0,2;0,2;0,02
7;0,3;0,1;0,02;0,2;20;0,7;0,1;0,02;0,2;0,2;0,02
8;0,3;0,1;0,02;0,2;20;0,7;0,1;0,02;0,2;0,2;0,02
9;0,3;0,1;0,02;0,2;20;0,7;0,1;0,02;0,2;0,2;0,02
10;0,3;0,1;0,02;0,2;20;0,7;0,1;0,02;0,2;0,2;0,02
11;0,3;0,1;0,02;0,2;20;0,7;0,1;0,02;0,2;0,2;0,02
12;0,3;0,1;0,02;0,2;20;0,7;0,1;0,02;0,2;0,2;0,02
13;0,3;0,1;0,02;0,2;20;0,7;0,1;0,02;0,2;0,2;0,02
14;0,3;0,1;0,02;0,2;20;0,7;0,1;0,02;0,2;0,2;0,02
15;0,3;0,1;0,02;0,2;20;0,7;0,1;0,02;0,2;0,2;0,02
16;0,3;0,1;0,02;0,2;20;0,7;0,1;0,02;0,2;0,2;0,02
17;0,3;0,1;0,02;0,2;20;0,7;0,1;0,02;0,2;0,2;0,02
18;0,3;0,1;0,02;0,2;20;0,7;0,1;0,02;0,2;0,2;0,02
19;0,3;0,1;0,02;0,2;20;0,7;0,1;0,02;0,2;0,2;0,02
20;0,3;0,1;0,02;0,2;20;0,7;0,1;0,02;0,2;0,2;0,02
21;0,3;0,1;0,02;0,2;20;0,7;0,1;0,02;0,2;0,2;0,02
22;0,3;0,1;0,02;0,2;20;0,7;0,1;0,02;0,2;0,2;0,02
23;0,3;0,1;0,02;0,2;20;0,7;0,1;0,02;0,2;0,2;0,02
24;0,3;0,1;0,02;0,2;20;0,7;0,1;0,02;0,2;0,2;0,02
25;0,3;0,1;0,02;0,2;20;0,7;0,1;0,02;0,2;0,2;0,02
26;0,3;0,1;0,02;0,2;20;0,7;0,1;0,02;0,2;0,2;0,02
27;0,3;0,1;0,02;0,2;20;0,7;0,1;0,02;0,2;0,2;0,02
28;0,3;0,1;0,02;0,2;20;0,7;0,1;0,02;0,2;0,2;0,02
29;0,3;0,1;0,02;0,2;20;0,7;0,1;0,02;0,2;0,2;0,02
30;0,3;0,1;0,02;0,2;20;0,7;0,1;0,02;0,2;0,2;0,02
31;0,3;0,1;0,02;0,2;20;0,7;0,1;0,02;0,2;0,2;0,02
32;0,3;0,1;0,02;0,2;20;0,7;0,1;0,02;0,2;0,2;0,02
33;0,3;0,1;0,02;0,2;20;0,7;0,1;0,02;0,2;0,2;0,02
34;0,3;0,1;0,02;0,2;20;0,7;0,1;0,02;0,2;0,2;0,02
35;0,3;0,1;0,02;0,2;20;0,7;0,1;0,02;0,2;0,2;0,02
36;0,3;0,1;0,02;0,2;20;0,7;0,1;0,02;0,2;0,2;0,02
37;0,3;0,1;0,02;0,2;20;0,7;0,1;0,02;0,2;0,2;0,02
38;0,3;0,1;0,02;0,2;20;0,7;0,1;0,02;0,2;0,2;0,02
39;0,3;0,1;0,02;0,2;20;0,7;0,1;0,02;0,2;0,2;0,02
40;0,3;0,1;0,02;0,2;20;0,7;0,1;0,02;0,2;0,2;0,02
41;0,3;0,1;0,02;0,2;20;0,7;0,1;0,02;0,2;0,2;0,02
42;0,3;0,1;0,02;0,2;20;0,7;0,1;0,02;0,2;0,2;0,02
43;0,3;0,1;0,02;0,2;20;0,7;0,1;0,02;0,2;0,2;0,02
44;0,3;0,1;0,02;0,2;20;0,7;0,1;0,02;0,2;0,2;0,02
45;0,3;0,1;0,02;0,2;20;0,7;0,1;0,02;0,2;0,2;0,02
46;0,3;0,1;0,02;0,2;20;0,7;0,1;0,02;0,2;0,2;0,02
47;0,3;0,1;0,02;0,2;20;0,7;0,1;0,02;0,2;0,2;0,02
48;0,3;0,1;0,02;0,2;20;0,7;0,1;0,02;0,2;0,2;0,02
49;0,3;0,1;0,02;0,2;20;0,7;0,1;0,02;0,2;0,2;0,02
50;0,3;0,1;0,02;0,2;20;0,7;0,1;0,02;0,2;0,2;0,02
1;0,4;0,1;0,02;0,2;20;0,6;0,1;0,02;0,2;0,2;0,02
2;0,4;0,1;0,02;0,2;20;0,6;0,1;0,02;0,2;0,2;0,02
3;0,4;0,1;0,02;0,2;20;0,6;0,1;0,02;0,2;0,2;0,02
4;0,4;0,1;0,02;0,2;20;0,6;0,1;0,02;0,2;0,2;0,02
5;0,4;0,1;0,02;0,2;20;0,6;0,1;0,02;0,2;0,2;0,02
6;0,4;0,1;0,02;0,2;20;0,6;0,1;0,02;0,2;0,2;0,02
7;0,4;0,1;0,02;0,2;20;0,6;0,1;0,02;0,2;0,2;0,02
8;0,4;0,1;0,02;0,2;20;0,6;0,1;0,02;0,2;0,2;0,02
9;0,4;0,1;0,02;0,2;20;0,6;0,1;0,02;0,2;0,2;0,02
10;0,4;0,1;0,02;0,2;20;0,6;0,1;0,02;0,2;0,2;0,02
11;0,4;0,1;0,02;0,2;20;0,6;0,1;0,02;0,2;0,2;0,02
12;0,4;0,1;0,02;0,2;20;0,6;0,1;0,02;0,2;0,2;0,02
13;0,4;0,1;0,02;0,2;20;0,6;0,1;0,02;0,2;0,2;0,02
14;0,4;0,1;0,02;0,2;20;0,6;0,1;0,02;0,2;0,2;0,02
15;0,4;0,1;0,02;0,2;20;0,6;0,1;0,02;0,2;0,2;0,02
16;0,4;0,1;0,02;0,2;20;0,6;0,1;0,02;0,2;0,2;0,02
17;0,4;0,1;0,02;0,2;20;0,6;0,1;0,02;0,2;0,2;0,02
18;0,4;0,1;0,02;0,2;20;0,6;0,1;0,02;0,2;0,2;0,02
19;0,4;0,1;0,02;0,2;20;0,6;0,1;0,02;0,2;0,2;0,02
20;0,4;0,1;0,02;0,2;20;0,6;0,1;0,02;0,2;0,2;0,02
21;0,4;0,1;0,02;0,2;20;0,6;0,1;0,02;0,2;0,2;0,02
22;0,4;0,1;0,02;0,2;20;0,6;0,1;0,02;0,2;0,2;0,02
23;0,4;0,1;0,02;0,2;20;0,6;0,1;0,02;0,2;0,2;0,02
24;0,4;0,1;0,02;0,2;20;0,6;0,1;0,02;0,2;0,2;0,02
25;0,4;0,1;0,02;0,2;20;0,6;0,1;0,02;0,2;0,2;0,02
26;0,4;0,1;0,02;0,2;20;0,6;0,1;0,02;0,2;0,2;0,02
27;0,4;0,1;0,02;0,2;20;0,6;0,1;0,02;0,2;0,2;0,02
28;0,4;0,1;0,02;0,2;20;0,6;0,1;0,02;0,2;0,2;0,02
29;0,4;0,1;0,02;0,2;20;0,6;0,1;0,02;0,2;0,2;0,02
30;0,4;0,1;0,02;0,2;20;0,6;0,1;0,02;0,2;0,2;0,02
31;0,4;0,1;0,02;0,2;20;0,6;0,1;0,02;0,2;0,2;0,02
32;0,4;0,1;0,02;0,2;20;0,6;0,1;0,02;0,2;0,2;0,02
33;0,4;0,1;0,02;0,2;20;0,6;0,1;0,02;0,2;0,2;0,02
34;0,4;0,1;0,02;0,2;20;0,6;0,1;0,02;0,2;0,2;0,02
35;0,4;0,1;0,02;0,2;20;0,6;0,1;0,02;0,2;0,2;0,02
36;0,4;0,1;0,02;0,2;20;0,6;0,1;0,02;0,2;0,2;0,02
37;0,4;0,1;0,02;0,2;20;0,6;0,1;0,02;0,2;0,2;0,02
38;0,4;0,1;0,02;0,2;20;0,6;0,1;0,02;0,2;0,2;0,02
39;0,4;0,1;0,02;0,2;20;0,6;0,1;0,02;0,2;0,2;0,02
40;0,4;0,1;0,02;0,2;20;0,6;0,1;0,02;0,2;0,2;0,02
41;0,4;0,1;0,02;0,2;20;0,6;0,1;0,02;0,2;0,2;0,02
42;0,4;0,1;0,02;0,2;20;0,6;0,1;0,02;0,2;0,2;0,02
43;0,4;0,1;0,02;0,2;20;0,6;0,1;0,02;0,2;0,2;0,02
44;0,4;0,1;0,02;0,2;20;0,6;0,1;0,02;0,2;0,2;0,02
45;0,4;0,1;0,02;0,2;20;0,6;0,1;0,02;0,2;0,2;0,02
46;0,4;0,1;0,02;0,2;20;0,6;0,1;0,02;0,2;0,2;0,02
47;0,4;0,1;0,02;0,2;20;0,6;0,1;0,02;0,2;0,2;0,02
48;0,4;0,1;0,02;0,2;20;0,6;0,1;0,02;0,2;0,2;0,02
49;0,4;0,1;0,02;0,2;20;0,6;0,1;0,02;0,2;0,2;0,02
50;0,4;0,1;0,02;0,2;20;0,6;0,1;0,02;0,2;0,2;0,02
1;0,5;0,1;0,02;0,2;20;0,5;0,1;0,02;0,2;0,2;0,02
2;0,5;0,1;0,02;0,2;20;0,5;0,1;0,02;0,2;0,2;0,02
3;0,5;0,1;0,02;0,2;20;0,5;0,1;0,02;0,2;0,2;0,02
4;0,5;0,1;0,02;0,2;20;0,5;0,1;0,02;0,2;0,2;0,02
5;0,5;0,1;0,02;0,2;20;0,5;0,1;0,02;0,2;0,2;0,02
6;0,5;0,1;0,02;0,2;20;0,5;0,1;0,02;0,2;0,2;0,02
7;0,5;0,1;0,02;0,2;20;0,5;0,1;0,02;0,2;0,2;0,02
8;0,5;0,1;0,02;0,2;20;0,5;0,1;0,02;0,2;0,2;0,02
9;0,5;0,1;0,02;0,2;20;0,5;0,1;0,02;0,2;0,2;0,02
10;0,5;0,1;0,02;0,2;20;0,5;0,1;0,02;0,2;0,2;0,02
11;0,5;0,1;0,02;0,2;20;0,5;0,1;0,02;0,2;0,2;0,02
12;0,5;0,1;0,02;0,2;20;0,5;0,1;0,02;0,2;0,2;0,02
13;0,5;0,1;0,02;0,2;20;0,5;0,1;0,02;0,2;0,2;0,02
14;0,5;0,1;0,02;0,2;20;0,5;0,1;0,02;0,2;0,2;0,02
15;0,5;0,1;0,02;0,2;20;0,5;0,1;0,02;0,2;0,2;0,02
16;0,5;0,1;0,02;0,2;20;0,5;0,1;0,02;0,2;0,2;0,02
17;0,5;0,1;0,02;0,2;20;0,5;0,1;0,02;0,2;0,2;0,02
18;0,5;0,1;0,02;0,2;20;0,5;0,1;0,02;0,2;0,2;0,02
19;0,5;0,1;0,02;0,2;20;0,5;0,1;0,02;0,2;0,2;0,02
20;0,5;0,1;0,02;0,2;20;0,5;0,1;0,02;0,2;0,2;0,02
21;0,5;0,1;0,02;0,2;20;0,5;0,1;0,02;0,2;0,2;0,02
22;0,5;0,1;0,02;0,2;20;0,5;0,1;0,02;0,2;0,2;0,02
23;0,5;0,1;0,02;0,2;20;0,5;0,1;0,02;0,2;0,2;0,02
24;0,5;0,1;0,02;0,2;20;0,5;0,1;0,02;0,2;0,2;0,02
25;0,5;0,1;0,02;0,2;20;0,5;0,1;0,02;0,2;0,2;0,02
26;0,5;0,1;0,02;0,2;20;0,5;0,1;0,02;0,2;0,2;0,02
27;0,5;0,1;0,02;0,2;20;0,5;0,1;0,02;0,2;0,2;0,02
28;0,5;0,1;0,02;0,2;20;0,5;0,1;0,02;0,2;0,2;0,02
29;0,5;0,1;0,02;0,2;20;0,5;0,1;0,02;0,2;0,2;0,02
30;0,5;0,1;0,02;0,2;20;0,5;0,1;0,02;0,2;0,2;0,02
31;0,5;0,1;0,02;0,2;20;0,5;0,1;0,02;0,2;0,2;0,02
32;0,5;0,1;0,02;0,2;20;0,5;0,1;0,02;0,2;0,2;0,02
33;0,5;0,1;0,02;0,2;20;0,5;0,1;0,02;0,2;0,2;0,02
34;0,5;0,1;0,02;0,2;20;0,5;0,1;0,02;0,2;0,2;0,02
35;0,5;0,1;0,02;0,2;20;0,5;0,1;0,02;0,2;0,2;0,02
36;0,5;0,1;0,02;0,2;20;0,5;0,1;0,02;0,2;0,2;0,02
37;0,5;0,1;0,02;0,2;20;0,5;0,1;0,02;0,2;0,2;0,02
38;0,5;0,1;0,02;0,2;20;0,5;0,1;0,02;0,2;0,2;0,02
39;0,5;0,1;0,02;0,2;20;0,5;0,1;0,02;0,2;0,2;0,02
40;0,5;0,1;0,02;0,2;20;0,5;0,1;0,02;0,2;0,2;0,02
41;0,5;0,1;0,02;0,2;20;0,5;0,1;0,02;0,2;0,2;0,02
42;0,5;0,1;0,02;0,2;20;0,5;0,1;0,02;0,2;0,2;0,02
43;0,5;0,1;0,02;0,2;20;0,5;0,1;0,02;0,2;0,2;0,02
44;0,5;0,1;0,02;0,2;20;0,5;0,1;0,02;0,2;0,2;0,02
45;0,5;0,1;0,02;0,2;20;0,5;0,1;0,02;0,2;0,2;0,02
46;0,5;0,1;0,02;0,2;20;0,5;0,1;0,02;0,2;0,2;0,02
47;0,5;0,1;0,02;0,2;20;0,5;0,1;0,02;0,2;0,2;0,02
48;0,5;0,1;0,02;0,2;20;0,5;0,1;0,02;0,2;0,2;0,02
49;0,5;0,1;0,02;0,2;20;0,5;0,1;0,02;0,2;0,2;0,02
50;0,5;0,1;0,02;0,2;20;0,5;0,1;0,02;0,2;0,2;0,02
